s_city_id,s_city,s_lat,s_lon,e_city_id,e_City,e_lat,e_lon,Accepted,Count,TopFive
1,Saint Louis,38.648646,-90.241834,66,North Dakota State University,46.892178,-96.801393,Yes,1,
1,Saint Louis,38.648646,-90.241834,67,Northeastern University,42.340496,-71.087898,Yes,1,
1,Saint Louis,38.648646,-90.241834,68,Northwest Missouri State University,40.351924,-94.883809,Yes,2,
1,Saint Louis,38.648646,-90.241834,69,Ohio State University,40.014191,-83.030914,Yes,1,
1,Saint Louis,38.648646,-90.241834,70,Olivet Nazarene University,41.155131,-87.874156,Yes,1,
1,Saint Louis,38.648646,-90.241834,71,Pacific Lutheran University,47.145193,-122.443667,Yes,1,
1,Saint Louis,38.648646,-90.241834,72,Park University ,39.191588,-94.679119,Yes,1,
1,Saint Louis,38.648646,-90.241834,73,Purdue University ,40.428211,-86.914395,Yes,8,
1,Saint Louis,38.648646,-90.241834,74,Rockhurst University ,39.030676,-94.570937,Yes,9,
1,Saint Louis,38.648646,-90.241834,75,Saint Ambrose University ,41.539991,-90.581833,Yes,1,
1,Saint Louis,38.648646,-90.241834,76,Saint Charles Community College ,38.761715,-90.640715,Yes,5,
1,Saint Louis,38.648646,-90.241834,77,Saint Louis College of Pharmacy,38.636608,-90.260874,Yes,1,
1,Saint Louis,38.648646,-90.241834,78,Saint Louis Community College-Forest Park,38.629459,-90.27839,Yes,1,
1,Saint Louis,38.648646,-90.241834,79,Saint Louis Community College-Meramec,38.569086,-90.420587,Yes,4,
1,Saint Louis,38.648646,-90.241834,80,Saint Louis University ,38.634695,-90.234059,Yes,57,Saint Louis University 
1,Saint Louis,38.648646,-90.241834,81,Santa Clara University,37.349952,-121.940608,Yes,1,
1,Saint Louis,38.648646,-90.241834,82,Sewanee: The University of the South,35.20518,-85.917661,Was not reported,1,
1,Saint Louis,38.648646,-90.241834,83,South Dakota School of Mines and Technology,44.073528,-103.205354,Yes,1,
1,Saint Louis,38.648646,-90.241834,84,Southeast Missouri State University,37.315645,-89.530083,Yes,15,Southeast Missouri State University
1,Saint Louis,38.648646,-90.241834,85,Southern Illinios University-Edwardsville,38.793098,-89.997945,Yes,19,Southern Illinios University-Edwardsville
1,Saint Louis,38.648646,-90.241834,86,Southern Illinois University-Carbondale,37.709058,-89.224913,Yes,12,
1,Saint Louis,38.648646,-90.241834,87,Southwestern Illinois College,38.517894,-89.922622,Yes,7,
1,Saint Louis,38.648646,-90.241834,88,Spelman College,33.74636,-84.412293,Yes,1,
1,Saint Louis,38.648646,-90.241834,89,Stevens Institute of Business and Arts,38.632973,-90.201098,Yes,1,
1,Saint Louis,38.648646,-90.241834,90,Syracuse University ,43.039153,-76.135116,Yes,1,
1,Saint Louis,38.648646,-90.241834,91,Tennessee State University ,36.166822,-86.827582,Yes,1,
1,Saint Louis,38.648646,-90.241834,92,Texas Christian University,32.70953,-97.362795,Yes,2,
1,Saint Louis,38.648646,-90.241834,93,Trevecca Nazarene University,36.142507,-86.753277,Yes,1,
1,Saint Louis,38.648646,-90.241834,94,Truman State University ,40.185857,-92.581372,Yes,14,
1,Saint Louis,38.648646,-90.241834,95,University of Alabama,33.214023,-87.539142,Yes,2,
1,Saint Louis,38.648646,-90.241834,96,University of Alabama at Birmingham,33.502123,-86.806445,Yes,1,
1,Saint Louis,38.648646,-90.241834,97,University of Alabama in Huntsville,34.725141,-86.639747,Yes,2,
1,Saint Louis,38.648646,-90.241834,98,University of Alaska Fairbanks,64.855757,-147.833542,Yes,1,
1,Saint Louis,38.648646,-90.241834,99,University of Arkansas ,36.067832,-94.173655,Yes,1,
1,Saint Louis,38.648646,-90.241834,100,University of California-Santa Barbara,34.413963,-119.848947,Yes,1,
1,Saint Louis,38.648646,-90.241834,101,University of Central Missouri,38.758082,-93.738372,Yes,2,
1,Saint Louis,38.648646,-90.241834,102,University of Chicago,41.789576,-87.600932,No,1,
1,Saint Louis,38.648646,-90.241834,103,University of Colorado-Colorado Springs,38.894255,-104.802528,Yes,1,
1,Saint Louis,38.648646,-90.241834,104,University of Colorado-Denver,39.74639,-105.002332,Yes,1,
1,Saint Louis,38.648646,-90.241834,105,University of Dallas,32.848134,-96.921686,Yes,2,
1,Saint Louis,38.648646,-90.241834,106,University of Dayton ,39.7393,-84.179967,Yes,4,
1,Saint Louis,38.648646,-90.241834,107,University of Evansville ,37.973411,-87.532172,Yes,4,
1,Saint Louis,38.648646,-90.241834,108,University of Hawaii at Hilo,19.701015,-155.081469,Yes,1,
1,Saint Louis,38.648646,-90.241834,109,University of Illinois-Springfield ,39.729021,-89.617654,Yes,1,
1,Saint Louis,38.648646,-90.241834,110,University of Illinois-Urbana-Champaign,40.101952,-88.227161,Yes,8,
1,Saint Louis,38.648646,-90.241834,111,University of Iowa,41.662696,-91.5549,Yes,9,
1,Saint Louis,38.648646,-90.241834,112,University of Kansas ,38.954344,-95.255796,Yes,6,
1,Saint Louis,38.648646,-90.241834,113,University of Kentucky,38.030651,-84.50397,Yes,1,
1,Saint Louis,38.648646,-90.241834,114,University of Mississippi,34.364732,-89.538443,Yes,3,
1,Saint Louis,38.648646,-90.241834,115,University of Missouri,38.940381,-92.327738,Yes,31,University of Missouri
1,Saint Louis,38.648646,-90.241834,116,University of Missouri-Kansas City,39.033554,-94.576026,Yes,6,
